geography,id,HH_control,HHSize1_control,HHSize2_control,HHSize3_control,HHSize4p_control,Income1_control,Income2_control,Income3_control,Income4_control,HHWrk0_control,HHWrk1_control,HHWrk2_control,HHWrk3p_control,HH_Pop_control,HH_result,HHSize1_result,HHSize2_result,HHSize3_result,HHSize4p_result,Income1_result,Income2_result,Income3_result,Income4_result,HHWrk0_result,HHWrk1_result,HHWrk2_result,HHWrk3p_result,HH_Pop_result,HH_diff,HHSize1_diff,HHSize2_diff,HHSize3_diff,HHSize4p_diff,Income1_diff,Income2_diff,Income3_diff,Income4_diff,HHWrk0_diff,HHWrk1_diff,HHWrk2_diff,HHWrk3p_diff,HH_Pop_diff
PUMA,3300700.0,57266,20251,16168,9416,11431,9938,15599,16139,15590,10832,18533,22411,5490,138120,57266,20236,16172,9418,11440,9939,15595,16148,15584,10823,18535,22412,5496,138127,0,-15,4,2,9,1,-4,9,-6,-9,2,1,6,7
PUMA,3300800.0,47586,19146,14599,6328,7513,15677,16066,10533,5310,11978,18100,14206,3302,107332,47586,19145,14598,6326,7517,15681,16067,10531,5307,11980,18103,14204,3299,107352,0,-1,-1,-2,4,4,1,-2,-3,2,3,-2,-3,20
PUMA,3300900.0,55071,19592,16512,8296,10671,12798,15153,15007,12113,12330,19663,18397,4681,131540,55071,19588,16511,8295,10677,12792,15155,15010,12114,12331,19669,18397,4674,131586,0,-4,-1,-1,6,-6,2,3,1,1,6,0,-7,46
PUMA,3301000.0,83110,30889,24808,12065,15348,16164,22789,22330,21827,18240,29809,28438,6623,193439,83110,30854,24833,12073,15350,16164,22789,22328,21829,18241,29811,28451,6607,193400,0,-35,25,8,2,0,0,-2,2,1,2,13,-16,-39
PUMA,4400101.0,58499,18547,19138,9499,11315,18507,16437,14126,9429,16694,20750,16634,4421,137655,58499,18549,19138,9498,11314,18506,16440,14126,9427,16690,20749,16637,4423,137654,0,2,0,-1,-1,-1,3,0,-2,-4,-1,3,2,-1
PUMA,4400102.0,72923,22770,22396,12176,15581,27277,22795,14141,8710,21308,27122,19113,5380,174753,72923,22771,22395,12178,15579,27277,22797,14142,8707,21308,27124,19112,5379,174720,0,1,-1,2,-2,0,2,1,-3,0,2,-1,-1,-33
PUMA,4400103.0,69309,25701,18812,10697,14099,33026,19957,9496,6830,21121,26989,16633,4566,164526,69309,25698,18811,10697,14103,33030,19948,9501,6830,21129,26993,16624,4563,164526,0,-3,-1,0,4,4,-9,5,0,8,4,-9,-3,0
PUMA,4400104.0,51730,17833,16331,8094,9472,16720,15774,12048,7188,15700,18620,13771,3639,120337,51730,17833,16337,8097,9463,16720,15775,12050,7185,15697,18626,13769,3638,120279,0,0,6,3,-9,0,1,2,-3,-3,6,-2,-1,-58
PUMA,4400201.0,70477,22903,23118,11177,13279,19097,22038,17316,12026,18715,26787,20140,4835,163639,70477,22894,23123,11174,13286,19100,22041,17318,12018,18721,26815,20121,4820,163630,0,-9,5,-3,7,3,3,2,-8,6,28,-19,-15,-9
PUMA,4400300.0,54594,19540,18144,7683,9227,13354,15096,13309,12835,14499,20420,16413,3262,123301,54594,19537,18143,7683,9231,13353,15097,13311,12833,14501,20429,16406,3258,123320,0,-3,-1,0,4,-1,1,2,-2,2,9,-7,-4,19
PUMA,4400400.0,53293,17610,17792,8099,9792,11494,15621,13435,12743,13422,18996,17055,3820,123661,53293,17612,17794,8098,9789,11490,15622,13437,12744,13416,18998,17063,3816,123629,0,2,2,-1,-3,-4,1,2,1,-6,2,8,-4,-32
