OID_,REGION,TAZ,PUMA
1446,1,4642,2504700
1447,1,4693,2504700
1448,1,4643,2504700
1449,1,4696,2504700
1450,1,4644,2504700
1451,1,4652,2504700
1452,1,4649,2504700
1453,1,4647,2504700
1454,1,4645,2504700
1455,1,4661,2504700
1456,1,4662,2504700
1457,1,4651,2504700
1458,1,4650,2504700
1459,1,4663,2504700
1460,1,4627,2504700
1461,1,4626,2504700
1462,1,4623,2504700
1463,1,4681,2504700
1464,1,4631,2504700
1465,1,4630,2504700
1466,1,4680,2504700
1467,1,4678,2504700
1468,1,4632,2504700
1469,1,4685,2504700
1470,1,4671,2504700
1471,1,4679,2504700
1472,1,4667,2504700
1473,1,4674,2504700
1474,1,4675,2504700
1475,1,4666,2504700
1476,1,4665,2504700
1477,1,4668,2504700
1478,1,4664,2504700
1479,1,4669,2504700
1480,1,4673,2504700
1481,1,4672,2504700
1482,1,4676,2504700
1483,1,4677,2504700
1484,1,4670,2504700
1485,1,4637,2504700
1486,1,4638,2504700
1487,1,4620,2504700
1488,1,4605,2504700
1489,1,4615,2504700
1490,1,4712,2504700
1491,1,4635,2504700
1492,1,4633,2504700
1493,1,4634,2504700
1494,1,4703,2504700
1495,1,4708,2504700
1496,1,4709,2504700
1497,1,4707,2504700
1498,1,4711,2504700
1499,1,4639,2504700
1500,1,4640,2504700
1501,1,4641,2504700
1502,1,4694,2504700
1503,1,4646,2504700
1504,1,4682,2504700
1505,1,4648,2504700
1506,1,4653,2504700
1507,1,4654,2504700
1508,1,4659,2504700
1509,1,4660,2504700
1510,1,4683,2504700
1511,1,4684,2504700
1512,1,4687,2504700
1513,1,4688,2504700
1514,1,4689,2504700
1515,1,4691,2504700
1516,1,4697,2504700
1517,1,4698,2504700
1518,1,4705,2504700
1519,1,4706,2504700
1520,1,4710,2504700
1521,1,4717,2504700
1522,1,4718,2504700
1524,1,4029,2504303
1525,1,4397,2504303
1526,1,4061,2504303
1530,1,4067,2504303
1531,1,4027,2504303
1533,1,4026,2504303
1536,1,4069,2504303
1537,1,4024,2504303
1539,1,4066,2504303
1540,1,4025,2504303
1541,1,4034,2504303
1543,1,4030,2504303
1544,1,4031,2504303
1545,1,4033,2504303
1546,1,4059,2504303
1547,1,4056,2504303
1548,1,4042,2504303
1549,1,4041,2504303
1550,1,4032,2504303
1551,1,4045,2504303
1552,1,4060,2504303
1553,1,4058,2504303
1554,1,4057,2504303
1555,1,4047,2504303
1556,1,4035,2504303
1557,1,4068,2504303
1558,1,4048,2504303
1559,1,4049,2504303
1560,1,4040,2504303
1561,1,4039,2504303
1562,1,4064,2504303
1563,1,4044,2504303
1564,1,4055,2504303
1565,1,4050,2504303
1566,1,4062,2504303
