TAZ,PUMA,REGION
4102,2504200,1
4096,2504200,1
4097,2504200,1
4104,2504200,1
4100,2504200,1
4380,2504200,1
4078,2504200,1
4103,2504200,1
4095,2504200,1
4105,2504200,1
208319,4400102,1
208315,4400102,1
208455,4400102,1
208456,4400101,1
208496,4400102,1
208446,4400101,1
208499,4400101,1
2394,2503601,1
4382,2504200,1
4379,2504200,1
523,2500508,1
4092,2504200,1
4112,2504200,1
208430,4400102,1
208418,4400102,1
81,2503302,1
208445,4400101,1
208474,4400101,1
65,2503302,1
208459,4400101,1
208477,4400101,1
208359,4400102,1
208471,4400101,1
2396,2503601,1
2459,2503601,1
17,2503302,1
2460,2503601,1
4082,2504200,1
2421,2503601,1
4004,2504303,1
4378,2504200,1
18,2503302,1
4086,2504200,1
4085,2504200,1
4077,2504200,1
3110,2500300,1
4107,2504200,1
4122,2504200,1
207396,3300800,1
208327,4400102,1
208434,4400102,1
208420,4400102,1
208312,4400102,1
208331,4400102,1
208447,4400101,1
208460,4400101,1
208478,4400101,1
208469,4400101,1
2416,2500304,1
2410,2500304,1
208472,4400101,1
2406,2500304,1
2424,2503601,1
4006,2504303,1
4083,2504200,1
4084,2504200,1
4081,2504200,1
265,2503301,1
4089,2504200,1
4101,2504200,1
4120,2504200,1
4121,2504200,1
207232,3300800,1
4123,2504200,1
4127,2504200,1
4079,2504200,1
208344,4400102,1
208433,4400102,1
208313,4400102,1
208330,4400102,1
208345,4400102,1
526,2500508,1
208317,4400104,1
208481,4400101,1
3362,2500301,1
2407,2500304,1
4111,2504200,1
2405,2500304,1
2425,2503601,1
279,2503301,1
4007,2504303,1
208340,4400102,1
4021,2504303,1
4116,2504200,1
4106,2504200,1
208399,4400102,1
285,2503304,1
4119,2504200,1
4136,2504200,1
287,2503304,1
4124,2504200,1
4125,2504200,1
4128,2504200,1
208028,4400104,1
208431,4400102,1
208316,4400102,1
208332,4400102,1
1658,2503601,1
1638,2502400,1
208318,4400104,1
208467,4400101,1
208495,4400101,1
208465,4400101,1
2408,2500304,1
2409,2500304,1
2423,2503601,1
1662,2503601,1
4023,2504303,1
208400,4400102,1
4011,2504303,1
4117,2504200,1
4019,2504303,1
4118,2504200,1
4108,2504200,1
4115,2504200,1
4020,2504303,1
208369,4400103,1
4135,2504200,1
1621,2503602,1
4129,2504200,1
208422,4400104,1
208082,4400104,1
208468,4400101,1
208466,4400101,1
208464,4400101,1
2418,2503601,1
208473,4400101,1
1657,2503601,1
208475,4400101,1
1660,2503601,1
4012,2504303,1
4015,2504303,1
4022,2504303,1
1632,2503602,1
4017,2504303,1
208069,4400104,1
1590,2503500,1
208138,4400103,1
4018,2504303,1
4110,2504200,1
4114,2504200,1
273,2503301,1
4036,2504303,1
208461,4400101,1
4038,2504303,1
1650,2503601,1
4131,2504200,1
4130,2504200,1
4210,2504302,1
208027,4400104,1
4013,2504303,1
4188,2504302,1
4181,2504302,1
208156,4400104,1
208320,4400102,1
208427,4400102,1
208428,4400102,1
1654,2503601,1
2519,2504901,1
4009,2504303,1
208083,4400104,1
2521,2504901,1
2522,2504901,1
208321,4400102,1
208322,4400102,1
208424,4400102,1
4016,2504303,1
208489,4400101,1
208485,4400101,1
4037,2504303,1
1629,2503602,1
4008,2504303,1
4138,2504200,1
208487,4400101,1
208490,4400101,1
4133,2504200,1
208486,4400101,1
106,2503302,1
1653,2503601,1
1663,2503601,1
1620,2503602,1
1716,2504000,1
2523,2504901,1
208462,4400101,1
2520,2504901,1
1636,2503602,1
2529,2504901,1
208484,4400101,1
4139,2504200,1
1645,2503601,1
208030,4400104,1
208084,4400104,1
208442,4400102,1
208338,4400104,1
1651,2503601,1
1626,2503602,1
208440,4400102,1
208443,4400102,1
208488,4400101,1
1634,2503602,1
1661,2503601,1
208476,4400101,1
1714,2504000,1
4217,2504302,1
2528,2504901,1
2531,2504901,1
1643,2502400,1
4218,2504302,1
1644,2503601,1
1631,2503602,1
1646,2503601,1
1648,2503601,1
4209,2504302,1
1649,2503601,1
1625,2503602,1
1057,2503602,1
1659,2503601,1
1640,2502400,1
208232,4400103,1
1713,2504000,1
2532,2504901,1
208325,4400104,1
208328,4400102,1
208231,4400103,1
1541,2503500,1
432,2503305,1
1608,2503500,1
1624,2503602,1
1609,2503500,1
1635,2503602,1
1647,2503601,1
1619,2503602,1
1766,2504000,1
208326,4400104,1
208329,4400102,1
1639,2502400,1
1765,2504000,1
208094,4400104,1
1540,2503500,1
208391,4400104,1
208463,4400101,1
1539,2503500,1
1637,2503602,1
430,2503305,1
1538,2503500,1
208252,4400103,1
1496,2503500,1
1633,2503602,1
1781,2504000,1
1763,2504000,1
208253,4400103,1
1782,2504000,1
208259,4400103,1
1495,2503500,1
208070,4400104,1
208071,4400104,1
1591,2503500,1
1052,2503602,1
1062,2503602,1
208258,4400103,1
1494,2503500,1
1054,2503602,1
1065,2503602,1
208257,4400103,1
1746,2504000,1
208102,4400104,1
208103,4400104,1
1498,2503500,1
1056,2503602,1
1534,2500504,1
208224,4400103,1
1059,2503602,1
1748,2504000,1
1537,2500504,1
1500,2503500,1
436,2503305,1
1060,2503602,1
1497,2503500,1
1747,2504000,1
1479,2503500,1
426,2503305,1
434,2503305,1
422,2503305,1
1480,2503500,1
1742,2504000,1
413,2503305,1
1053,2503602,1
428,2503305,1
208147,4400103,1
416,2503305,1
1734,2504000,1
412,2503305,1
1482,2503500,1
437,2503305,1
431,2503305,1
427,2503305,1
1493,2503500,1
438,2503305,1
208006,4400102,1
440,2503305,1
208007,4400102,1
1492,2503500,1
435,2503305,1
433,2503305,1
429,2503305,1
425,2503305,1
1717,2504000,1
1502,2503500,1
439,2503305,1
306,2503305,1
310,2503305,1
105,2503302,1
423,2503305,1
371,2503304,1
1504,2503500,1
1501,2503500,1
441,2503305,1
307,2503305,1
339,2503304,1
348,2503305,1
311,2503305,1
349,2503305,1
370,2503304,1
208251,4400103,1
208060,4400103,1
208352,4400103,1
208351,4400103,1
208368,4400103,1
3045,2500304,1
3046,2500303,1
3005,2500303,1
3042,2500304,1
4216,2504302,1
3006,2500304,1
207120,3301000,1
1982,2500703,1
2403,2500304,1
3043,2500304,1
2414,2500304,1
2799,2500304,1
208148,4400103,1
2402,2500304,1
