OID_,id,taz,type,town,state,town_state,mpo,in_brmpo,subregion,sector,FID_PUMAs,statefp10,pumace10,geoid10,aland10,awater10,state10,puma10,Shape_Length,Shape_Area
175,268,5659,I,BOSTON,MA,"BOSTON,MA",BRMPO,1,ICC,Central,23,25,3301,2503301,14204949,1567985,25,3301,1615.013823,77815.19129
176,268,5659,I,BOSTON,MA,"BOSTON,MA",BRMPO,1,ICC,Central,24,25,3305,2503305,44801221,1009163,25,3305,31.16813712,45.42932365
177,2638,36,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,413.568644,8.099695267
178,2638,36,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,10176.02572,5336112.955
179,4149,568,I,FALL RIVER,MA,"FALL RIVER,MA",SRPEDD,0, ,,57,25,4302,2504302,106274759,28767178,25,4302,2111.923922,191454.0768
180,2642,37,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,12329.02067,5139305.331
181,2663,38,I,DUXBURY,MA,"DUXBURY,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,17975.5756,12391678.3
182,208396,1430,I,PROVIDENCE,RI,"PROVIDENCE,RI", ,0, ,,5,44,103,4400103,47656182,5615693,44,103,1785.931166,195109.6587
183,2662,39,I,DUXBURY,MA,"DUXBURY,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,12421.58838,7709125.133
184,2664,40,I,DUXBURY,MA,"DUXBURY,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,12524.02188,6233313.078
185,208398,1431,I,PROVIDENCE,RI,"PROVIDENCE,RI", ,0, ,,5,44,103,4400103,47656182,5615693,44,103,1726.532555,172415.2092
186,2676,41,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,6218.975704,2020472.228
187,1822,126,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,4559.094442,1285454.352
188,2651,42,I,HANSON,MA,"HANSON,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,13073.79375,6799854.681
189,1897,43,I,HANOVER,MA,"HANOVER,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,12784.17822,6862150.545
190,1898,44,I,HANOVER,MA,"HANOVER,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,11320.51768,4033848.069
191,1909,45,I,NORWELL,MA,"NORWELL,MA",BRMPO,1,SSC,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,19516.77183,10594351.5
192,1909,45,I,NORWELL,MA,"NORWELL,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,293.6993008,141.3843586
193,1127,160,I,QUINCY,MA,"QUINCY,MA",BRMPO,1,ICC,Southeast,61,25,3603,2503603,76604566,27531385,25,3603,4204.246614,676459.9549
194,2659,46,I,PEMBROKE,MA,"PEMBROKE,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,10848.1513,3320176.631
195,2659,46,I,PEMBROKE,MA,"PEMBROKE,MA",OCPC,0, ,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,3791.827804,231.7450311
196,2636,47,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,18126.90766,85293.77077
197,2636,47,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,20797.97839,17147708.64
198,2639,48,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,19542.97807,10570065.83
